MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1444.6800537	1444.6800537	1420.6800537	1916.37	5997.7143555
1444.75	1444.75	1420.75	1916.4	4656.7617188
1444.780029	1444.780029	1420.780029	1916.4100342	5997.7143555
1444.8	1444.8	1420.8	1916.4200439	3998.4760742
1444.8299561	1444.8299561	1420.8299561	1916.4300537	6045.30127
1444.8499756	1444.8499756	1420.8499756	1916.4399414	4046.6506348
1444.88	1444.88	1420.88	1916.459961	2998.8571777
1444.9300537	1444.9300537	1420.9300537	1916.47998	4998.0952148
1444.97998	1444.97998	1420.97998	1916.51001	3323.9365234
1445.01001	1445.01001	1421.01001	1916.52002	5997.7143555
1445.030029	1445.030029	1421.030029	1916.540039	1999.2380371
1445.0600586	1445.0600586	1421.0600586	1916.5500488	5997.7143555
1445.1099854	1445.1099854	1421.1099854	1916.5799561	3337.179199
1445.13	1445.13	1421.13	1916.5899658	3998.4760742
1445.1600342	1445.1600342	1421.1600342	1916.6099854	2998.8571777
1445.209961	1445.209961	1421.209961	1916.6400146	3323.9365234
1445.26001	1445.26001	1421.26001	1916.6600342	4998.0952148
1445.290039	1445.290039	1421.290039	1916.6800537	2998.8571777
1445.3100586	1445.3100586	1421.3100586	1916.7	2011.2095947
1445.4100342	1445.4100342	1421.4100342	1916.76001	3334.616211
1445.4399414	1445.4399414	1421.4399414	1916.780029	2986.666748
1445.459961	1445.459961	1421.459961	1916.790039	3998.4760742
1445.51001	1445.51001	1421.51001	1916.8199463	3345.338623
1445.5899658	1445.5899658	1421.5899658	1916.87	3193.9047852
1445.6400146	1445.6400146	1421.6400146	1916.9100342	2499.0476074
1445.6700439	1445.6700439	1421.6700439	1916.9200439	5997.7143555
1445.719971	1445.719971	1421.719971	1916.959961	2500.394043
1445.77002	1445.77002	1421.77002	1916.99	3332.0634766
1445.790039	1445.790039	1421.790039	1917.01001	1999.2380371
1445.8199463	1445.8199463	1421.8199463	1917.02002	6045.30127
1445.9	1445.9	1421.9	1917.0699463	3206.4152832
1445.9499512	1445.9499512	1421.9499512	1917.1	3323.9365234
1445.969971	1445.969971	1421.969971	1917.12	1999.2380371
1446.02002	1446.02002	1422.02002	1917.1500244	3332.0634766
1446.0699463	1446.0699463	1422.0699463	1917.1899414	2500.394043
1446.1	1446.1	1422.1	1917.2	5997.7143555
1446.12	1446.12	1422.12	1917.219971	1999.2380371
1446.1700439	1446.1700439	1422.1700439	1917.26001	2499.0476074
1446.3299561	1446.3299561	1422.3299561	1917.3599854	3201.5273438
1446.4300537	1446.4300537	1422.4300537	1917.4300537	2856.0544434
1446.4499512	1446.4499512	1422.4499512	1917.4399414	4021.97583
1446.47998	1446.47998	1422.47998	1917.459961	2998.8571777
1446.5	1446.5	1422.5	1917.47998	1999.2380371
1446.530029	1446.530029	1422.530029	1917.49	5997.7143555
1446.5600586	1446.5600586	1422.5600586	1917.51001	2998.8571777
1446.5799561	1446.5799561	1422.5799561	1917.530029	1987.0476074
1446.63	1446.63	1422.63	1917.5600586	3332.0634766
1446.6800537	1446.6800537	1422.6800537	1917.5899658	3345.338623
1446.709961	1446.709961	1422.709961	1917.6	6045.30127
1446.76001	1446.76001	1422.76001	1917.6400146	2499.0476074
1446.780029	1446.780029	1422.780029	1917.6500244	3998.4760742
1446.8100586	1446.8100586	1422.8100586	1917.6700439	2998.8571777
1446.8599854	1446.8599854	1422.8599854	1917.7	3337.179199
1446.9100342	1446.9100342	1422.9100342	1917.72998	3332.0634766
1446.959961	1446.959961	1422.959961	1917.75	4985.9047852
1446.99	1446.99	1422.99	1917.77002	2998.8571777
1447.040039	1447.040039	1423.040039	1917.8	3332.0634766
1447.0600586	1447.0600586	1423.0600586	1917.8100586	3998.4760742
1447.0899658	1447.0899658	1423.0899658	1917.8299561	3004.5507813
1447.1099854	1447.1099854	1423.1099854	1917.8399658	3998.4760742
1447.1700439	1447.1700439	1423.1700439	1917.8599854	5997.7143555
1447.1899414	1447.1899414	1423.1899414	1917.88	1987.0476074
1447.219971	1447.219971	1423.219971	1917.8900146	5997.7143555
1447.24	1447.24	1423.24	1917.9	4046.6506348
1447.27002	1447.27002	1423.27002	1917.9200439	2998.8571777
1447.290039	1447.290039	1423.290039	1917.9300537	3998.4760742
1447.3199463	1447.3199463	1423.3199463	1917.9399414	6045.30127
1447.37	1447.37	1423.37	1917.969971	3332.0634766
1447.3900146	1447.3900146	1423.3900146	1917.99	1999.2380371
1447.4200439	1447.4200439	1423.4200439	1918	5997.7143555
1447.4399414	1447.4399414	1423.4399414	1918.02002	1987.0476074
1447.469971	1447.469971	1423.469971	1918.030029	5997.7143555
1447.52002	1447.52002	1423.52002	1918.0699463	2506.5075684
1447.5699463	1447.5699463	1423.5699463	1918.1	3323.9365234
1447.62	1447.62	1423.62	1918.13	3332.0634766
1447.6500244	1447.6500244	1423.6500244	1918.1400146	5997.7143555
1447.6700439	1447.6700439	1423.6700439	1918.1600342	1999.2380371
1447.7	1447.7	1423.7	1918.1700439	5973.3334961
1447.719971	1447.719971	1423.719971	1918.1899414	2023.3253174
1447.75	1447.75	1423.75	1918.2	5997.7143555
1447.77002	1447.77002	1423.77002	1918.209961	3998.4760742
