MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
862.030029	862.030029	848.030029	1144.2	1484.9907227
865.01001	865.01001	851.01001	1148.2	1490.009399
870.960022	870.960022	856.960022	1156.2	1487.5
873.94	873.94	859.94	1160.2	1489.9649658
879.8900146	879.8900146	865.8900146	1168.2	1487.5222168
882.87	882.87	868.87	1172.2	1489.9649658
885.8400269	885.8400269	871.8400269	1176.2	1485.0350342
888.82	888.82	874.82	1180.2	1489.9649658
891.789978	891.789978	877.789978	1184.2	1485.0045166
894.77002	894.77002	880.77002	1188.2	1489.9954834
897.74	897.74	883.74	1192.2	1485.0045166
900.719971	900.719971	886.719971	1196.2	1490.009399
903.69	903.69	889.69	1200.2	1484.9907227
906.6699829	906.6699829	892.6699829	1204.2	1490.009399
909.6400146	909.6400146	895.6400146	1208.2	1484.9907227
912.62	912.62	898.62	1212.2	1490.009399
915.5900269	915.5900269	901.5900269	1216.2	1484.9907227
918.57	918.57	904.57	1220.2	1490.009399
921.539978	921.539978	907.539978	1224.2	1484.9602051
924.52002	924.52002	910.52002	1228.2	1490.039917
927.49	927.49	913.49	1232.2	1485.0045166
930.469971	930.469971	916.469971	1236.2	1489.9649658
933.4500122	933.4500122	919.4500122	1240.2	1490.039917
936.4199829	936.4199829	922.4199829	1244.2	1484.9602051
939.4	939.4	925.4	1248.2	1490.039917
942.38	942.38	928.38	1252.2	1489.9649658
945.3499756	945.3499756	931.3499756	1256.2	1485.0045166
948.3300171	948.3300171	934.3300171	1260.2	1490.039917
951.3	951.3	937.3	1264.2	1484.9602051
954.280029	954.280029	940.280029	1268.2	1490.039917
957.25	957.25	943.25	1272.2	1484.9602051
960.22998	960.22998	946.22998	1276.2	1490.009399
963.2	963.2	949.2	1280.2	1484.9907227
966.18	966.18	952.18	1284.2	1490.009399
969.1500244	969.1500244	955.1500244	1288.2	1485.0350342
972.13	972.13	958.13	1292.2	1489.9649658
975.1	975.1	961.1	1296.2	1485.0045166
978.0800171	978.0800171	964.0800171	1300.2	1489.9954834
981.06	981.06	967.06	1304.2	1490.009399
984.030029	984.030029	970.030029	1308.2	1484.9907227
987.01001	987.01001	973.01001	1312.2	1490.009399
989.97998	989.97998	975.97998	1316.2	1485.0045166
995.93	995.93	981.93	1324.2	1487.5
998.9	998.9	984.9	1328.2	1484.9907227
1001.88	1001.88	987.88	1332.2	1490.009399
1004.8599854	1004.8599854	990.8599854	1336.2	1489.9649658
1007.8300171	1007.8300171	993.8300171	1340.2	1485.0350342
1013.780029	1013.780029	999.780029	1348.2	1487.5
1016.76001	1016.76001	1002.76001	1352.2	1490.009399
1019.74	1019.74	1005.74	1356.2	1489.9649658
1022.710022	1022.710022	1008.710022	1360.2	1485.0350342
1025.6899414	1025.6899414	1011.6899414	1364.2	1489.9344482
1028.6600342	1028.6600342	1014.6600342	1368.2	1485.0655518
1031.63	1031.63	1017.63	1372.2	1485.0045166
1034.6099854	1034.6099854	1020.6099854	1376.2	1489.9649658
1037.5799561	1037.5799561	1023.5799561	1380.2	1485.0045166
1040.5600586	1040.5600586	1026.5600586	1384.2	1490.026001
1043.540039	1043.540039	1029.540039	1388.2	1490.009399
1046.52002	1046.52002	1032.52002	1392.2	1489.9649658
1049.49	1049.49	1035.49	1396.2	1485.0045166
1052.469971	1052.469971	1038.469971	1400.2	1489.9649658
