MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1874.3199463	1874.3099365	1849.3099365	2376.02002	1103.8809814
1875	1874.99	1849.99	2377.27002	1088.0610352
1878.63	1878.62	1853.62	2380.3300781	2372.4726563
1879.3100586	1879.3	1854.3	2381.5800781	1088.0610352
1880	1879.99	1854.99	2382.8400879	1095.1083984
1883.63	1883.62	1858.62	2385.8898926	2380.4477539
1884.3199463	1884.3099365	1859.3099365	2387.1499023	1095.3156738
1885	1884.99	1859.99	2388.4	1088.0610352
1888.63	1888.62	1863.62	2391.459961	2372.4726563
1889.3100586	1889.3	1864.3	2392.709961	1088.0610352
1890	1889.99	1864.99	2393.969971	1095.1083984
1893.63	1893.62	1868.62	2397.02002	2380.2617188
1894.3199463	1894.3099365	1869.3099365	2398.280029	1095.1083984
1895	1894.99	1869.99	2399.530029	1088.2685547
1898.63	1898.62	1873.62	2402.5900879	2372.4726563
1899.3100586	1899.3	1874.3	2403.8300781	1096.8475342
1900	1899.99	1874.99	2405.0900879	1095.1083984
1903.63	1903.62	1878.62	2408.1398926	2380.4477539
1904.3199463	1904.3099365	1879.3099365	2409.4	1095.1083984
1905	1904.99	1879.99	2410.6499023	1088.0610352
1908.6400146	1908.63	1883.63	2413.709961	2379.2001953
1909.3100586	1909.3	1884.3	2414.959961	1072.0457764
1913.3199463	1913.3099365	1888.3099365	2418.959961	2004.9696045
1913.63	1913.62	1888.62	2419.27002	1999.2005615
1915	1914.99	1889.99	2421.1599121	1449.7731934
1917.1899414	1917.1799316	1892.1799316	2422.959961	2433.1867676
1917.9399414	1917.9299316	1892.9299316	2423.5800781	2418.8603516
1919.3100586	1919.3	1894.3	2425.469971	1450.0853271
1920	1919.99	1894.99	2426.72998	1095.1083984
1923.62	1923.6099854	1898.6099854	2429.780029	2373.697998
1925	1924.99	1899.99	2432.290039	1099.5744629
1928.63	1928.62	1903.62	2435.3400879	2380.2617188
1929.3199463	1929.3099365	1904.3099365	2436.6	1095.1083984
1930	1929.99	1904.99	2437.8500977	1088.2685547
1933.63	1933.62	1908.62	2440.9099121	2372.6577148
1934.3100586	1934.3	1909.3	2442.1599121	1088.0610352
1935	1934.99	1909.99	2443.4199219	1095.1083984
1938.63	1938.62	1913.62	2446.469971	2380.2617188
1939.3199463	1939.3099365	1914.3099365	2447.72998	1095.1083984
1940	1939.989624	1914.989624	2448.97998	1087.541626
1943.6400146	1943.6276855	1918.6276855	2452.040039	2377.9128418
1944.3199463	1944.307251	1919.307251	2453.290039	1087.2771
1945.01001	1944.9969482	1919.9969482	2454.5500488	1094.7095947
1948.6400146	1948.625	1923.625	2457.6	2378.973877
1949.3299561	1949.3145752	1924.3145752	2458.8601074	1094.515869
1950.01001	1949.9942627	1924.9942627	2460.1	1096.2540283
1953.6400146	1953.6223145	1928.6223145	2463.1599121	2371.5585938
1954.3199463	1954.30188	1929.30188	2464.4099121	1087.2771
1955.01001	1954.9915771	1929.9915771	2465.6699219	1094.7095947
1958.6400146	1958.62	1933.62	2468.719971	2379.2363281
1959.3299561	1959.3099365	1934.3099365	2469.97998	1095.1083984
1960.01001	1959.99	1934.99	2471.22998	1088.0610352
1963.6400146	1963.62	1938.62	2474.290039	2372.4726563
1964.3199463	1964.3	1939.3	2475.540039	1088.0732422
1965.01001	1964.99	1939.99	2476.8	1095.302124
1968.6400146	1968.62	1943.62	2479.8500977	2380.2617188
1969.3299561	1969.3099365	1944.3099365	2481.1101074	1095.1083984
1970.01001	1969.99	1944.99	2482.3601074	1088.0610352
1973.6400146	1973.62	1948.62	2485.4199219	2372.6577148
1974.3199463	1974.3	1949.3	2486.6699219	1087.8657227
1975.01001	1974.99	1949.99	2487.9199219	1104.2868652
1978.63	1978.6099854	1953.6099854	2490.969971	2373.697998
1980.01001	1979.99	1954.99	2493.49	1095.2053223
1983.6400146	1983.62	1958.62	2496.540039	2380.2617188
1984.3299561	1984.3099365	1959.3099365	2497.8	1095.1083984
1985.01001	1984.99	1959.99	2499.0500488	1088.0610352
