DEPTH,CAL,DTCO,DTSM,LITHO,PHIE,PHIT,RHOB,SW,VCLAY,WELL,VP,IP,IS,VS
2779.166,12.46164,74.64014,123.8741,49.0,0.1329019456693399,0.1329019456693399,2.415938,0.6480157748031106,0.0,1-BRSA-192-ESS,4083.593626700057,9865.709019302483,5944.567124201104,2460.5627810817596
2779.266,12.56217,75.17545,122.5465,49.0,0.1402725551180875,0.207257189763815,2.30746,0.8083612299214759,0.2294257622049238,1-BRSA-192-ESS,4054.5151375881355,9355.631499379118,5739.158670382263,2487.2191372254615
2779.366,12.48341,83.0755,133.2098,57.0,0.08410647425197,0.2728035385826733,2.234271,1.0,0.64629685433069,1-BRSA-192-ESS,3668.951736673267,8197.432465648717,5112.280033450993,2288.1199431273076
2779.466,12.50072,99.22008,157.2789,57.0,0.0389385354328669,0.3241964992128047,2.240258,1.0,0.9770227519699088,1-BRSA-192-ESS,3071.9588212386043,6881.980324950353,4341.527302136523,1937.958620005608
2779.566,12.50518,96.12584,150.3339,57.0,0.0341397369291367,0.3261062496063021,2.324419,1.0,1.0,1-BRSA-192-ESS,3170.8435525764976,7370.368999636309,4712.728873527527,2027.486814351254
2779.666,12.53792,93.80618,144.615,57.0,0.030425436377997,0.3140400653542657,2.362628,1.0,0.9713942527555312,1-BRSA-192-ESS,3249.2528743841826,7676.775820100553,4979.6287687999165,2107.6651799605847
2779.766,12.55532,93.97235,142.8728,57.0,0.0575865159055884,0.2937730511810595,2.329344,1.0,0.8089505929129768,1-BRSA-192-ESS,3243.507265701028,7555.244188317094,4969.3437183284705,2133.366183066336
2779.866,12.59226,93.71136,141.7466,57.0,0.0728940886614514,0.2939462944881964,2.310854,1.0,0.7571147811022707,1-BRSA-192-ESS,3252.5405671201443,7516.146379691853,4969.066624525738,2150.3161275120533
2779.966,12.59226,91.61465,138.6647,57.0,0.0917025326772141,0.3004929417323222,2.271739,1.0,0.7151174606298871,1-BRSA-192-ESS,3326.9788183440096,7558.027533806003,4993.52789282348,2198.1080981677383
2780.066,12.6358,86.55015,132.2236,57.0,0.1028922653542947,0.3109435661416934,2.200551,1.0,0.712586188976368,1-BRSA-192-ESS,3521.657674770061,7749.5873178729325,5072.679497457337,2305.1860636074043
2780.166,12.7095,85.88084,131.4613,57.0,0.1285294354330755,0.308913376377952,2.20803,1.0,0.6178238763779342,1-BRSA-192-ESS,3549.103618455525,7836.527262658353,5119.434723374864,2318.5530646661796
2780.266,12.78818,86.64889,131.2964,57.0,0.1292659637795422,0.3133335149606213,2.226473,1.0,0.6304406417322037,1-BRSA-192-ESS,3517.6445999481357,7831.940725380326,5168.679189985407,2321.465021127769
2780.366,12.83669,88.79752,130.335,57.0,0.0801925506299708,0.3367296614173019,2.231538,1.0,0.8786524677162938,1-BRSA-192-ESS,3432.5282958352886,7659.817328231688,5218.650265853377,2338.5890206007593
2780.466,12.85349,95.47785,139.7464,57.0,0.0680802581890561,0.3600468165355128,2.237852,1.0,1.0,1-BRSA-192-ESS,3192.3634644056187,7144.036963547043,4880.965016630124,2181.0937526834323
2780.566,12.85126,101.8185,149.4181,57.0,0.0764493271654285,0.3684159110236962,2.292822,1.0,1.0,1-BRSA-192-ESS,2993.562073689948,6863.704980921935,4677.158561111404,2039.9135044549487
2780.666,12.65714,104.4447,153.2569,57.0,0.0386016211810299,0.330568152755833,2.386686,1.0,1.0,1-BRSA-192-ESS,2918.2907318418265,6965.043633616642,4746.682810366125,1988.8174692297705
2780.766,12.59277,104.7753,153.683,57.0,0.0069536412677346,0.2842712637794569,2.417598,1.0,0.9498267685036328,1-BRSA-192-ESS,2909.0825795774385,7032.992226221256,4794.830074894426,1983.3032931423777
2780.866,12.4853,104.1259,153.8727,57.0,0.0315657895275262,0.2532995251968572,2.397496,1.0,0.7594489645670649,1-BRSA-192-ESS,2927.2255990104286,7018.011664725106,4749.099618060904,1980.8582029170866
2780.966,12.46164,102.685,156.926,57.0,0.0092989229290731,0.2635873015748669,2.330462,1.0,0.8709504212602689,1-BRSA-192-ESS,2968.301115060622,6917.512953206407,4526.495402928769,1942.3167607662213
2781.066,12.48341,98.63099,149.827,57.0,0.0225509214960598,0.2680171779527557,2.340924,1.0,0.8407342716535534,1-BRSA-192-ESS,3090.3066064732798,7234.172902451855,4762.250029700922,2034.3462793755466
2781.166,12.50518,94.17953,140.9695,57.0,0.0437546685039358,0.2719819716536026,2.364189,1.0,0.7816899842521754,1-BRSA-192-ESS,3236.3720651398453,7651.395236310906,5111.778130730407,2162.1698310627476
2781.266,12.59226,92.74458,142.8825,57.0,0.0430495305511846,0.2870140929133686,2.318634,1.0,0.8355907346455981,1-BRSA-192-ESS,3286.4454181581286,7620.064085685654,4946.159559078264,2133.2213532098053
2781.366,12.67933,87.79616,133.6897,57.0,0.0644217033070365,0.2852016598425389,2.302043,1.0,0.7561821921262212,1-BRSA-192-ESS,3471.678032387749,7991.952112711991,5248.442523245994,2279.9063802222613
2781.466,12.78818,82.86417,123.6825,57.0,0.0846609540945136,0.2729605338582516,2.32097,1.0,0.6449355905510388,1-BRSA-192-ESS,3678.308731023312,8537.244215443176,5719.739300224364,2464.374507307016
2781.566,12.91879,89.53528,144.8482,57.0,0.1048328722833518,0.2680438732283468,2.314796,1.0,0.5590059236224347,1-BRSA-192-ESS,3404.244673161239,7880.131952454943,4870.960224566133,2104.2719205347394
2781.666,12.8792,91.67963,146.6971,57.0,0.0845449109448077,0.3004219070866792,2.273396,1.0,0.73938934173276,1-BRSA-192-ESS,3324.620747269595,7558.179508359708,4723.550096082336,2077.7506849146985
2781.766,12.94056,91.11839,137.4321,57.0,0.0594787744094272,0.3509371417322579,2.27351,1.0,0.9982594015747897,1-BRSA-192-ESS,3345.098612914473,7605.1151474471835,5042.241572383745,2217.822473788875
2781.866,12.91879,92.26057,139.9032,57.0,0.1241655984252086,0.3172333244094444,2.237772,1.0,0.6612666307086057,1-BRSA-192-ESS,3303.6865044297906,7392.897156390862,4875.320261437909,2178.649237472767
2781.966,12.7011,91.84244,141.0711,57.0,0.1691578070866261,0.3017725181102079,2.221021,1.0,0.4542118496061616,1-BRSA-192-ESS,3318.727159252302,7370.962713969707,4798.766017986674,2160.6126272496635
2782.066,12.67933,90.27376,140.9758,57.0,0.1657263566929767,0.2956949480314666,2.267624,1.0,0.4451488244091309,1-BRSA-192-ESS,3376.396419070171,7656.397553397577,4902.769093702607,2162.0732068908283
2782.166,12.65757,90.04154,134.7446,57.0,0.1038711675588949,0.3303284377953969,2.259622,1.0,0.7756272669300983,1-BRSA-192-ESS,3385.1042529925635,7649.056042355562,5111.394338622847,2262.0572549846156
2782.266,12.65757,90.29293,134.291,57.0,0.0727957445668753,0.3548944149606497,2.267776,1.0,0.9662019307089134,1-BRSA-192-ESS,3375.679579785483,7655.285134727604,5147.166413236926,2269.6978948700958
2782.366,12.70076,90.99796,139.2566,57.0,0.0697738381889889,0.3617404062992252,2.266921,1.0,1.0,1-BRSA-192-ESS,3349.5256377175924,7593.1100081804025,4961.757796757928,2188.765200356752
2782.466,12.7011,90.86667,143.2965,57.0,0.0661246261417684,0.3319714779527151,2.221427,1.0,0.9105387440942244,1-BRSA-192-ESS,3354.36524745542,7451.477528559151,4725.104588039483,2127.0582324062343
2782.566,12.63923,92.31837,150.0264,57.0,0.0936070733857298,0.3067066086615046,2.260541,1.0,0.7298766716541741,1-BRSA-192-ESS,3301.6180853279798,7463.4430482253965,4592.611012461806,2031.642430932156
2782.666,12.57049,95.57716,159.8226,57.0,0.1147032535433146,0.2821406669291242,2.330816,1.0,0.5734816653542717,1-BRSA-192-ESS,3189.0464207139025,7433.080422142695,4445.133021237297,1907.1145132165288
2782.766,12.70436,98.78882,162.1786,57.0,0.0825554218897685,0.2883202425196838,2.339215,1.0,0.7047547007873811,1-BRSA-192-ESS,3085.369376818146,7217.342326793659,4396.342871377605,1879.4094905246438
2782.866,12.44073,101.073,163.3929,57.0,0.06104913842521,0.2977116889763728,2.326754,1.0,0.8105810401574176,1-BRSA-192-ESS,3015.6421596272003,7016.6574574812275,4340.424946249195,1865.4421336545224
2782.966,12.37902,102.0801,163.6402,57.0,0.0356759893699848,0.3034166157480477,2.325278,1.0,0.9170248787405348,1-BRSA-192-ESS,2985.8904918784365,6943.025471174107,4331.116280718307,1862.6229985052573
2783.066,12.36429,102.7801,164.9918,57.0,0.0168679184252204,0.3045205637795249,2.364893,1.0,0.9852247645668388,1-BRSA-192-ESS,2965.554616117322,7013.219352773542,4368.819458906442,1847.3645356920767
2783.166,12.3528,103.5188,165.076,57.0,0.0233652042520393,0.3000994811023249,2.360463,1.0,0.9478287968500232,1-BRSA-192-ESS,2944.392709343617,6950.130047875363,4358.4114129249565,1846.4222539921007
2783.266,12.36151,104.3833,162.8045,57.0,0.0559612494488738,0.2843632669291072,2.313946,1.0,0.7822883960627125,1-BRSA-192-ESS,2920.007319178451,6756.7392561837,4332.132961926729,1872.184122674742
2783.366,12.33103,100.9307,156.2858,57.0,0.0449348625196638,0.293558434645686,2.273355,1.0,0.8515480653544606,1-BRSA-192-ESS,3019.8938479570634,6865.290778722429,4433.663224681961,1950.2731534150896
2783.466,12.57837,97.47643,150.2971,57.0,0.0246205702363843,0.3154302590553146,2.242785,1.0,0.9960376976379072,1-BRSA-192-ESS,3126.9097565431975,7012.986298328736,4548.3303936004095,2027.9832411936093
2783.566,12.47973,95.6331,147.0024,57.0,0.0632644785039418,0.3552310055118159,2.28798,1.0,1.0,1-BRSA-192-ESS,3187.1810074127056,7292.206401340122,4743.979037076946,2073.435535746355
2783.666,12.62809,96.94061,148.6062,57.0,0.0443869835433202,0.3363535590551313,2.335056,1.0,1.0,1-BRSA-192-ESS,3144.1931302062158,7341.867033846805,4789.336304945553,2051.0584349778137
2783.766,12.39728,99.73993,152.6126,57.0,0.0269898706299081,0.3189564771653412,2.337263,1.0,1.0,1-BRSA-192-ESS,3055.9476029309426,7142.5532622691835,4668.01405912749,1997.2138604545105
2783.866,12.52489,104.3863,159.7093,57.0,0.040875573936987,0.332842124409428,2.320481,1.0,1.0,1-BRSA-192-ESS,2919.9233999097582,6775.626770945996,4428.562449400254,1908.4674467923908
2783.966,12.65114,105.7759,161.845,57.0,0.0355082623621746,0.3274748503936707,2.318753,1.0,1.0,1-BRSA-192-ESS,2881.563758852442,6681.634610530376,4366.869006765733,1883.2833884271988
2784.066,12.50518,106.0875,162.2926,57.0,0.0293834108661162,0.3178296771653671,2.298734,1.0,0.987942820472572,1-BRSA-192-ESS,2873.1000353481795,6604.492736656062,4317.22779227149,1878.0893275478982
2784.166,12.52155,106.3847,162.5639,57.0,0.0407686161417468,0.3134346354330645,2.291498,1.0,0.9338945629920544,1-BRSA-192-ESS,2865.0736431084547,6565.310523035737,4296.4556731229995,1874.955017688429
2784.266,12.57297,107.018,155.5586,57.0,0.0567131105511973,0.3014040811023486,2.318511,1.0,0.8380785866140708,1-BRSA-192-ESS,2848.119008017343,6603.395249397297,4542.867786159042,1959.3902233627712
2784.366,12.65757,107.5649,147.8773,57.0,0.0735197729921251,0.2907873779527581,2.342863,1.0,0.7441523677165459,1-BRSA-192-ESS,2833.638110573245,6638.825884651964,4829.03489852736,2061.1682793775653
2784.466,12.68704,107.075,151.0547,57.0,0.0719522051180846,0.2971482661417559,2.324154,1.0,0.7713076700789087,1-BRSA-192-ESS,2846.602848470698,6615.943396684567,4689.70604158626,2017.8120905870524
2784.566,12.61952,106.7099,151.4593,57.0,0.0393135513385449,0.33128013385823,2.276704,1.0,1.0,1-BRSA-192-ESS,2856.3422887660845,6503.045914202899,4581.688804847243,2012.4218189308942
2784.666,12.61403,106.2277,150.41,57.0,0.0892909322833244,0.3812575078738756,2.271293,1.0,1.0,1-BRSA-192-ESS,2869.308099488175,6517.039401210795,4602.686699022672,2026.4610065820093
2784.766,12.62586,104.5462,149.3606,57.0,0.055446882204651,0.3474133976377219,2.305877,1.0,1.0,1-BRSA-192-ESS,2915.457472390197,6722.686330062691,4705.600470271276,2040.69881883174
2784.866,12.61728,103.8914,148.3112,57.0,0.0541289620472123,0.3460955220472123,2.26598,1.0,1.0,1-BRSA-192-ESS,2933.8328292813458,6648.006514494944,4656.901865806492,2055.138114990641
2784.966,12.73727,103.8284,148.3988,57.0,0.0676980865354702,0.3542826472440239,2.249145,1.0,0.9815663984248276,1-BRSA-192-ESS,2935.612992206371,6602.619283355998,4619.575063949304,2053.9249643528115
2785.066,12.50518,102.9958,160.8852,57.0,0.1290664362202253,0.315802137795394,2.232566,1.0,0.6395792393713305,1-BRSA-192-ESS,2959.3439732493944,6606.930736981507,4229.637759097791,1894.5185759783994
2785.166,12.37457,103.0155,166.9899,57.0,0.1542436968503806,0.3079575811023688,2.236595,1.0,0.5264777196851069,1-BRSA-192-ESS,2958.778047963656,6617.588188185273,4082.36759229151,1825.2600905803286
2785.266,12.34029,103.752,168.2173,57.0,0.1270917850393684,0.3170933566929129,2.280768,1.0,0.6507648976377995,1-BRSA-192-ESS,2937.7746934998845,6700.382512144345,4132.619453528264,1811.942053522438
2785.366,12.39634,105.7513,173.1044,57.0,0.1028401314960704,0.3108885992126005,2.297304,1.0,0.712576420472423,1-BRSA-192-ESS,2882.234071827013,6621.367862144484,4045.0633213251654,1760.7871319273224
2785.466,12.46198,109.4641,176.8637,57.0,0.1075946968505046,0.2985043393700142,2.264093,1.0,0.6538751826765644,1-BRSA-192-ESS,2784.474544622392,6304.309325157745,3901.849539504149,1723.3609836275052
2785.566,12.52592,114.81,179.5482,57.0,0.1387544188975901,0.280564870866169,2.27589,1.0,0.4857078842522254,1-BRSA-192-ESS,2654.8210086229424,6042.080585314869,3863.5378800789977,1697.5942950138178
2785.666,12.48341,116.5366,179.7087,57.0,0.1032774999999136,0.2963275874016163,2.271745,1.0,0.661206216535871,1-BRSA-192-ESS,2615.487323295857,5941.720249260748,3853.057064015265,1696.0781531445057
2785.766,12.30926,118.5211,179.0372,57.0,0.0888734350393772,0.3086659511811141,2.273043,1.0,0.7528004244094644,1-BRSA-192-ESS,2571.693985290383,5845.571011406408,3869.71817253621,1702.439493021562
2785.866,12.30926,120.8543,177.44,57.0,0.1119736047244504,0.3189937519685204,2.283657,1.0,0.7090543094487352,1-BRSA-192-ESS,2522.04514030531,5759.4860389742025,3922.7832146077544,1717.7637511271416
2785.966,12.40079,122.2664,175.9195,57.0,0.1510506346458619,0.3213218716535471,2.254339,1.0,0.5831876330702196,1-BRSA-192-ESS,2492.917105598922,5619.880254918768,3905.8917698151713,1732.610654304952
